"business_id";"location_id";"type_1";"type_2";"type_3";"income";"run";"dfoundation";"dclosing";"nr_of_jobs"
1;3292;1;3;;;0;"";"";2
2;3292;1;2;;;0;"";"";2
3;3292;1;2;;;0;"";"";2
4;3292;1;2;;;0;"";"";2
5;3292;1;1;;;0;"";"";2
6;3292;1;2;;;0;"";"";2
7;3292;1;3;;;0;"";"";2
8;3292;1;3;;;0;"";"";2
9;3292;1;1;;;0;"";"";2
10;3292;1;1;;;0;"";"";2
11;3292;1;2;;;0;"";"";2
12;3292;1;1;;;0;"";"";2
13;3292;1;1;;;0;"";"";2
14;3292;1;1;;;0;"";"";2
15;3292;1;3;;;0;"";"";2
16;3292;1;1;;;0;"";"";2
17;3292;1;3;;;0;"";"";2
18;3292;1;1;;;0;"";"";2
19;3292;1;1;;;0;"";"";2
20;3292;1;2;;;0;"";"";2
21;3292;1;2;;;0;"";"";2
22;3292;1;2;;;0;"";"";2
23;3292;1;1;;;0;"";"";2
24;3292;1;3;;;0;"";"";2
25;3292;1;1;;;0;"";"";2
26;3292;1;1;;;0;"";"";2
27;3292;1;2;;;0;"";"";2
28;3292;1;3;;;0;"";"";2
29;3292;1;3;;;0;"";"";2
30;3292;1;3;;;0;"";"";2
31;3292;1;3;;;0;"";"";2
32;3292;1;3;;;0;"";"";2
33;3292;1;3;;;0;"";"";2
34;3292;1;1;;;0;"";"";2
35;3292;1;2;;;0;"";"";2
36;3292;1;2;;;0;"";"";2
37;3292;1;2;;;0;"";"";2
38;3292;1;1;;;0;"";"";2
39;3292;1;1;;;0;"";"";2
40;3292;1;2;;;0;"";"";2
41;3292;1;3;;;0;"";"";2
42;3292;1;3;;;0;"";"";2
43;3292;1;2;;;0;"";"";2
44;3292;1;1;;;0;"";"";2
45;3292;1;2;;;0;"";"";2
46;3292;1;3;;;0;"";"";2
47;3292;1;3;;;0;"";"";2
48;3292;1;3;;;0;"";"";2
49;3292;1;2;;;0;"";"";2
50;3292;1;1;;;0;"";"";2
51;3292;1;2;;;0;"";"";2
52;3292;1;2;;;0;"";"";2
53;3292;1;1;;;0;"";"";2
54;3292;1;1;;;0;"";"";2
55;3292;1;3;;;0;"";"";2
56;3292;1;1;;;0;"";"";2
57;3292;1;1;;;0;"";"";2
58;3292;1;3;;;0;"";"";2
59;3292;1;1;;;0;"";"";2
60;3292;1;2;;;0;"";"";2
61;3292;1;1;;;0;"";"";2
62;3292;1;3;;;0;"";"";2
63;3292;1;3;;;0;"";"";2
64;3292;1;3;;;0;"";"";2
65;3292;1;1;;;0;"";"";2
66;3292;1;1;;;0;"";"";2
67;3292;1;3;;;0;"";"";2
68;3292;1;1;;;0;"";"";2
69;3292;1;1;;;0;"";"";2
70;3292;1;3;;;0;"";"";2
71;3292;1;1;;;0;"";"";2
72;3292;1;1;;;0;"";"";2
73;3292;1;1;;;0;"";"";2
74;3292;1;3;;;0;"";"";2
75;3292;1;3;;;0;"";"";2
76;3292;1;1;;;0;"";"";2
77;3292;1;3;;;0;"";"";2
78;3292;1;2;;;0;"";"";2
79;3292;1;1;;;0;"";"";2
80;3292;1;3;;;0;"";"";2
81;3292;1;2;;;0;"";"";2
82;3292;1;1;;;0;"";"";2
83;3292;1;2;;;0;"";"";2
84;3292;1;3;;;0;"";"";2
85;3292;1;3;;;0;"";"";2
86;3292;1;3;;;0;"";"";2
87;3292;1;2;;;0;"";"";2
88;3292;1;2;;;0;"";"";2
89;3292;1;3;;;0;"";"";2
90;3292;1;1;;;0;"";"";2
91;3292;1;3;;;0;"";"";2
92;3292;1;2;;;0;"";"";2
93;3292;1;3;;;0;"";"";2
94;3292;1;2;;;0;"";"";2
95;3292;1;1;;;0;"";"";2
96;3292;1;1;;;0;"";"";2
97;3292;1;2;;;0;"";"";2
98;3292;1;1;;;0;"";"";2
99;3292;1;1;;;0;"";"";2
100;3292;1;1;;;0;"";"";2
101;3292;1;2;;;0;"";"";2
102;3292;1;3;;;0;"";"";2
103;3292;1;2;;;0;"";"";2
104;3292;1;3;;;0;"";"";2
105;3292;1;1;;;0;"";"";2
106;3292;1;3;;;0;"";"";2
107;3292;1;2;;;0;"";"";2
108;3292;1;1;;;0;"";"";2
109;3292;1;3;;;0;"";"";2
110;3292;1;1;;;0;"";"";2
111;3292;1;2;;;0;"";"";2
112;3292;1;1;;;0;"";"";2
113;3292;1;2;;;0;"";"";2
114;3292;1;1;;;0;"";"";2
115;3292;1;1;;;0;"";"";2
116;3292;1;1;;;0;"";"";2
117;3292;1;1;;;0;"";"";2
118;3292;1;2;;;0;"";"";2
119;3292;1;3;;;0;"";"";2
120;3292;1;2;;;0;"";"";2
121;3292;1;3;;;0;"";"";2
122;3292;1;2;;;0;"";"";2
123;3292;1;1;;;0;"";"";2
124;3292;1;2;;;0;"";"";2
125;3292;1;3;;;0;"";"";2
126;3292;1;2;;;0;"";"";2
127;3292;1;1;;;0;"";"";2
128;3292;1;1;;;0;"";"";2
129;3292;1;1;;;0;"";"";2
130;3292;1;1;;;0;"";"";2
131;3292;1;3;;;0;"";"";2
132;3292;1;1;;;0;"";"";2
133;3292;1;2;;;0;"";"";2
134;3292;1;3;;;0;"";"";2
135;3292;1;1;;;0;"";"";2
136;3292;1;3;;;0;"";"";2
137;3292;1;1;;;0;"";"";2
